line,text,State,ShanDiv
8,"Administrative Procedure (UAPA) - As enacted, revises provisions governing construction of the Act and hearings regarding rules; requires an agency to demostrate by convincing evidence, ...",Tennessee,0
9,"Veterans - As enacted, allows employees authorized by the Tennessee state veterans' homes board to solicit donations for the improvement of existing homes or for ...",Tennessee,0
10,"Education, Higher - As enacted, revises various provisions of the Postsecondary Education Authorization Act of 1974 and renames the Act to be the ""Tennessee Higher ...",Tennessee,0
1,"Soil Conservation - As enacted, authorizes a soil conservation district and the supervisors of the district, subject to the approval of the commissioner of agriculture, ...",Tennessee,0
2,"Traffic Safety - As enacted, requires that every notice of violation or citation issued that is based solely upon evidence obtained from any traffic enforcement ...",Tennessee,0
3,"Forfeiture of Assets - As enacted, requires the department of safety to report annually to the speakers of the senate and the house and the ...",Tennessee,0
4,"Education, Higher - As enacted, restructures the board of regents; establishes state university boards of trustees; makes other changes necessary to effectuate the restructuring; revises ...",Tennessee,0
5,"Utilities, Utility Districts - As enacted, enacts the ""Municipal Energy Authority Act."" - Amends TCA Title 7.",Tennessee,0
6,"Law Enforcement - As enacted, encourages TBI to develop an activation card for law enforcement use in connection with the missing citizen alert program to ...",Tennessee,0
7,"Montgomery County - As introduced, subject to local approval, adds governmental units to the list of entities from which the hotel and motel occupancy tax ...",Tennessee,0
8,"Putnam County - As introduced, subject to local approval, increases the authorized maximum amount of the hotel motel tax from six percent to seven percent; ...",Tennessee,0
9,"School Districts, Special - As introduced, pursuant to the request of the Gibson County special school district, permits the district to issue bonds or notes ...",Tennessee,0
10,"School Districts, Special - As introduced, pursuant to the request of the Gibson County special school district, permits the district to issue bonds or notes ...",Tennessee,0
1,"Montgomery County - As introduced, subject to local approval, adds governmental units to the list of entities from which the hotel and motel occupancy tax ...",Tennessee,0
2,"Putnam County - As introduced, subject to local approval, increases the authorized maximum amount of the hotel motel tax from six percent to seven percent; ...",Tennessee,0
3,"Tullahoma - As introduced, subject to local approval, creates the Tullahoma utilities authority. - Amends Chapter 553 of the Acts of 1903.",Tennessee,0
4,"Tullahoma - As introduced, subject to local approval, creates the Tullahoma utilities authority. - Amends Chapter 553 of the Acts of 1903.",Tennessee,0
5,"Metropolitan Government - As introduced, subject to local approval, authorizes the metropolitan council of the metropolitan government of Lynchburg, Moore County to direct the county ...",Tennessee,0
6,"Metropolitan Government - As introduced, subject to local approval, authorizes the metropolitan council of the metropolitan government of Lynchburg, Moore County to direct the county ...",Tennessee,0
7,"Regional Authorities and Special Districts - As enacted, renames the Four Lake regional industrial development authority to the Tennessee central economic authority. - Amends TCA ...",Tennessee,0
8,"Linden - As introduced, subject to local approval, authorizes the appointment of a vice mayor; allows for the mayor to be paid a salary, to ...",Tennessee,0
9,"Clay County - As introduced, subject to local approval, decreases the Clay County board of education from 10 members to five members. - Amends Chapter ...",Tennessee,0
10,"Portland - As introduced, subject to local approval, designates the department of public works as the department of public works and public utilities; authorizes the ...",Tennessee,0
1,"Troy - As introduced, subject to local approval, decreases the number of required monthly meeting times of the board of mayor and aldermen, from two ...",Tennessee,0
2,"Eagleville - As introduced, subject to local approval, rewrites the city charter. - Amends Chapter 77 of the Private Acts of 1977.",Tennessee,0
3,"Rutherford County - As introduced, adds a fourth general sessions court in Rutherford County, the judge of which shall be elected to a six-year initial ...",Tennessee,0
4,"Rutherford County - As introduced, adds a fourth general sessions court in Rutherford County, the judge of which shall be elected to a six-year initial ...",Tennessee,0
5,"Jamestown - As introduced, subject to local approval, makes various revisions to the charter of Jamestown, including amending the qualifications of voters, the manner of ...",Tennessee,0
6,"Troy - As introduced, subject to local approval, decreases the number of required monthly meeting times of the board of mayor and aldermen, from two ...",Tennessee,0
7,"Rocky Top - As introduced, subject to local approval, rewrites city charter. - Amends Chapter 227 of the Private Acts of 1992; as amended.",Tennessee,0
8,"Trimble - Subject to local approval, changes the election process for the mayor and aldermen elections; extends the terms of the mayor and aldermen from ...",Tennessee,0
9,"Cookeville - As introduced, subject to local approval, removes the requirement that all joint ownership arrangements of the Cookeville regional medical center authority be on ...",Tennessee,0
10,"Jellico - As introduced, subject to local approval, changes the appointment qualifications for city judge; requires the city judge to be appointed by the mayor ...",Tennessee,0
1,"Gallatin - As introduced, subject to local approval, amends charter relative to the appointment of city officers by the city council, in addition to residency ...",Tennessee,0
2,"Linden - As introduced, subject to local approval, authorizes the appointment of a vice mayor; allows for the mayor to be paid a salary, to ...",Tennessee,0
3,"Portland - As introduced, subject to local approval, designates the department of public works as the department of public works and public utilities; authorizes the ...",Tennessee,0
4,"Clay County - As introduced, subject to local approval, decreases the Clay County board of education from 10 members to five members. - Amends Chapter ...",Tennessee,0
5,"Van Buren County - As introduced, subject to local approval, revises allocation of occupancy tax proceeds from 22.28 percent to the city of Spencer and ...",Tennessee,0
6,"Lynnville - As introduced, subject to local approval, authorizes the compensation of the mayor and aldermen to be established by ordinance; requires a person to ...",Tennessee,0
7,"Lebanon - As introduced, subject to local approval, revises the city charter. - Amends Chapter 644 of the Private Acts of 1911; as amended.",Tennessee,0
8,"Saltillo - As introduced, subject to local approval, authorizes compensation of mayor and aldermen to be set by ordinance; authorizes mayor and aldermen to be ...",Tennessee,0
9,"Lynnville - As introduced, subject to local approval, authorizes the compensation of the mayor and aldermen to be established by ordinance; requires a person to ...",Tennessee,0
10,"Rocky Top - As introduced, subject to local approval, rewrites city charter. - Amends Chapter 227 of the Private Acts of 1992; as amended.",Tennessee,0
1,"Cookeville - As introduced, subject to local approval, removes the requirement that all joint ownership arrangements of the Cookeville regional medical center authority be on ...",Tennessee,0
2,"Van Buren County - As introduced, subject to local approval, revises allocation of occupancy tax proceeds from 22.28 percent to the city of Spencer and ...",Tennessee,0
3,"Copperhill - As introduced, subject to local approval, requires approval of the board of mayor and aldermen for personnel decisions of the mayor. - Amends ...",Tennessee,0
4,"Saltillo - As introduced, subject to local approval, authorizes compensation of mayor and aldermen to be set by ordinance; authorizes mayor and aldermen to be ...",Tennessee,0
5,"Jellico - As introduced, subject to local approval, changes the appointment qualifications for city judge; requires the city judge to be appointed by the mayor ...",Tennessee,0
6,"Jamestown - As introduced, subject to local approval, makes various revisions to the charter of Jamestown, including amending the qualifications of voters, the manner of ...",Tennessee,0
7,"Copperhill - As introduced, subject to local approval, requires approval of the board of mayor and aldermen for personnel decisions of the mayor. - Amends ...",Tennessee,0
8,"Lebanon - As introduced, subject to local approval, revises the city charter. - Amends Chapter 644 of the Private Acts of 1911; as amended.",Tennessee,0
9,"Eagleville - As introduced, subject to local approval, rewrites the city charter. - Amends Chapter 77 of the Private Acts of 1977.",Tennessee,0
10,"Gallatin - As introduced, subject to local approval, amends charter relative to the appointment of city officers by the city council, in addition to residency ...",Tennessee,0
1,"Regional Authorities and Special Districts - As enacted, renames the Four Lake regional industrial development authority to the Tennessee central economic authority. - Amends TCA ...",Tennessee,0
2,"Trimble - Subject to local approval, changes the election process for the mayor and aldermen elections; extends the terms of the mayor and aldermen from ...",Tennessee,0
3,"Shelbyville - As introduced, subject to local approval, rewrites city charter. - Amends Chapter 754 of the Private Acts of 1947; as amended.",Tennessee,0
4,"Adamsville - As introduced, subject to local approval, authorizes the city commission to designate a city administrator as head of the operating functions of the ...",Tennessee,0
5,"Shelbyville - As introduced, subject to local approval, rewrites city charter. - Amends Chapter 754 of the Private Acts of 1947; as amended.",Tennessee,0
6,"Adamsville - As introduced, subject to local approval, authorizes the city commission to designate a city administrator as head of the operating functions of the ...",Tennessee,0
7,"Jackson County - As introduced, subject to local approval, removes an outdated requirement that the highway commissioner submit a quarterly report of expenditures to the ...",Tennessee,0
8,"Jackson County - As introduced, subject to local approval, removes an outdated requirement that the highway commissioner submit a quarterly report of expenditures to the ...",Tennessee,0
9,"Baxter - As introduced, subject to local approval, abolishes office of city recorder; authorizes board to set city judge's compensation above $100 per month. - ...",Tennessee,0
10,"Baxter - As introduced, subject to local approval, abolishes office of city recorder; authorizes board to set city judge's compensation above $100 per month. - ...",Tennessee,0
1,"Munford - As introduced, subject to local approval, permits qualified voters in the state who own property in the city to vote in city elections. ...",Tennessee,0
2,"Munford - As introduced, subject to local approval, permits qualified voters in the state who own property in the city to vote in city elections. ...",Tennessee,0
3,"Alexandria - As introduced, subject to local approval, moves the date of the city election to coincide with the August general county election; extends the ...",Tennessee,0
4,"Alexandria - As introduced, subject to local approval, moves the date of the city election to coincide with the August general county election; extends the ...",Tennessee,0
5,"Taxes, Exemption and Credits - As enacted, allows certain part-time and seasonal adventure tourism jobs, with or without minimum health care, created in adventure tourism ...",Tennessee,0
6,"Purchasing and Procurement - As enacted, enacts the ""Iran Divestment Act"". - Amends TCA Title 4, Chapter 56; Title 12; Title 41, Chapter 22 and ...",Tennessee,0
7,"Purchasing and Procurement - As enacted, enacts the ""Iran Divestment Act"". - Amends TCA Title 4, Chapter 56; Title 12; Title 41, Chapter 22 and ...",Tennessee,0
8,"Highways, Roads and Bridges - As enacted, revises provisions governing authority to reduce maximum gross weight of freight motor vehicles over certain county roads. - ...",Tennessee,0
9,"Consumer Protection - As enacted, requires an application for approval of a transfer of structured settlement payment rights to be made by the transferee and ...",Tennessee,0
10,"Taxes, Exemption and Credits - As enacted, allows certain part-time and seasonal adventure tourism jobs, with or without minimum health care, created in adventure tourism ...",Tennessee,0
1,"Highways, Roads and Bridges - As enacted, revises provisions governing authority to reduce maximum gross weight of freight motor vehicles over certain county roads. - ...",Tennessee,0
2,"Solid Waste Disposal - As enacted, authorizes Davidson County to impose and collect a solid waste collection, processing, and disposal fee; adds solid waste ""processing"" ...",Tennessee,0
3,"Alcoholic Beverages - As enacted, revises provisions governing the issuance of a retail food store wine license to a retail food store located within a ...",Tennessee,0
4,"County Officers - As enacted, permits constables who have law enforcement powers to carry firearms at all times and in all places in Tennessee that ...",Tennessee,0
5,"Domestic Violence - As enacted, requires that any pending order of protection or restraining order be served on a domestic violence offender before release, following ...",Tennessee,0
6,"County Officers - As enacted, permits constables who have law enforcement powers to carry firearms at all times and in all places in Tennessee that ...",Tennessee,0
7,"Consumer Protection - As enacted, requires an application for approval of a transfer of structured settlement payment rights to be made by the transferee and ...",Tennessee,0
8,"Domestic Violence - As enacted, requires that any pending order of protection or restraining order be served on a domestic violence offender before release, following ...",Tennessee,0
9,"Alcoholic Beverages - As enacted, revises provisions governing the issuance of a retail food store wine license to a retail food store located within a ...",Tennessee,0
10,"Solid Waste Disposal - As enacted, authorizes Davidson County to impose and collect a solid waste collection, processing, and disposal fee; adds solid waste ""processing"" ...",Tennessee,0
1,"Veterinarians - As enacted, revises various provisions of the Tennessee Veterinary Practice Act, such as specifying that the ""practice of veterinary medicine"" occurs wherever the ...",Tennessee,0
2,"Veterinarians - As enacted, revises various provisions of the Tennessee Veterinary Practice Act, such as specifying that the ""practice of veterinary medicine"" occurs wherever the ...",Tennessee,0
3,"Education, Higher - As enacted, grants in-state tuition and fees at public higher education institutions to certain dependent children of military parents regardless of place ...",Tennessee,0
4,"Education, Higher - As enacted, grants in-state tuition and fees at public higher education institutions to certain dependent children of military parents regardless of place ...",Tennessee,0
5,"Teachers, Principals and School Personnel - As enacted, revises provisions governing the evaluation of teachers and principals. - Amends TCA Title 49.",Tennessee,0
6,"Bond Issues - As enacted, authorizes Davidson County to issue bonds to fund affordable housing and workforce housing projects. - Amends TCA Title 7; Title ...",Tennessee,0
7,"Bond Issues - As enacted, authorizes Davidson County to issue bonds to fund affordable housing and workforce housing projects. - Amends TCA Title 7; Title ...",Tennessee,0
8,"Sexual Offenders - As enacted, prohibits a person who is registered, or required to register, as a violent sexual offender or offender against children pursuant ...",Tennessee,0
9,"Taxes, Hotel Motel - As enacted, authorizes local collecting officials of hotel taxes to publish the names of delinquent taxpayers and the amounts owed in ...",Tennessee,0
10,"Aircraft and Airports - As enacted, under certain circumstances, authorizes an airport authority to sell an aircraft abandoned on the airport authority's property; establishes procedures ...",Tennessee,0
1,"Military - As enacted, enacts the ""National Guard Force Protection Act of 2016"". - Amends TCA Title 4; Title 9 and Title 58.",Tennessee,0
2,"State Government - As enacted, revises various provisions governing reporting functions of public entities and officials. - Amends TCA Title 3; Title 4; Title 8; ...",Tennessee,0
3,"Human Services, Dept. of - As enacted, requires the department to perform certain duties, such as develop subrecipient monitoring plans utilizing analytic procedures; conduct unannounced ...",Tennessee,0
4,"Taxes, Hotel Motel - As enacted, authorizes local collecting officials of hotel taxes to publish the names of delinquent taxpayers and the amounts owed in ...",Tennessee,0
5,"Sunset Laws - As enacted, extends the board of pharmacy two years to June 30, 2018; requires the board to appear before the government operations ...",Tennessee,0
6,"Education, Higher - As enacted, extends the Tennessee Promise scholarship to dependents of Tennessee military parents who are stationed outside of the state. - Amends ...",Tennessee,0
7,"Workers Compensation - As enacted, authorizes the bureau of workers' compensation of the department of labor and workforce development to investigate complaints alleging certain disclosure ...",Tennessee,0
8,"Taxes, Ad Valorem - As enacted, revises provisions governing industrial development corporations and payments in lieu of taxes made by the corporation's lessees. - Amends ...",Tennessee,0
9,"Criminal Offenses - As enacted, increases penalty for TennCare fraud from Class E felony to Class D felony; creates specific fines for first and subsequent ...",Tennessee,0
10,"Environment and Conservation, Department of - As enacted, broadens the scope of the Used Oil Collection Act of 1993 to address the proper disposal of ...",Tennessee,0
1,"Animal Cruelty and Abuse - As enacted, substitutes the commissioner of agriculture or a qualified agent of the commissioner for county agriculture extension agents as ...",Tennessee,0
2,"Auditing - As enacted, establishes the position of executive internal auditor and gives the position various responsibilities related to internal audits of executive branch agencies. ...",Tennessee,0
3,"Driver Licenses - As enacted, deletes requirement that a person's driver license be suspended for an additional like period if convicted of driving on a ...",Tennessee,0
4,"Fiscal Review Committee - As enacted, increases from 60 days to 90 days from the end of the annual legislative session the time frame for ...",Tennessee,0
5,"Autopsies - As enacted, permits a county medical examiner and certain district attorneys general to request the district attorney general in the district where the ...",Tennessee,0
6,"Education, Higher - As enacted, extends the Tennessee Promise scholarship to dependents of Tennessee military parents who are stationed outside of the state. - Amends ...",Tennessee,0
7,"Regional Authorities and Special Districts - As enacted, clarifies that the speakers may appoint members of the general assembly from one political party to the ...",Tennessee,0
8,"Sunset Laws - As enacted, extends the state soil conservation committee six years to June 30, 2022; establishes minimum attendance requirement for committee members and ...",Tennessee,0
9,"Education, Higher - As enacted, provides tuition and fee waivers to full-time state employees for up to four courses per academic year provided the courses ...",Tennessee,0
10,"Nuclear Materials, Transportation and Safety - As enacted, clarifies that deadly force may be used by nuclear security officers at nuclear power reactor facilities and ...",Tennessee,0
1,"Driver Licenses - As enacted, deletes requirement that a person's driver license be suspended for an additional like period if convicted of driving on a ...",Tennessee,0
2,"Taxes, Ad Valorem - As enacted, revises provisions governing industrial development corporations and payments in lieu of taxes made by the corporation's lessees. - Amends ...",Tennessee,0
3,"Motor Vehicles - As enacted, removes the limitation that a passenger car or passenger motor vehicle have a manufacturer's gross vehicle weight rating of 8,500 ...",Tennessee,0
4,"Workers Compensation - As enacted, revises various provisions governing payments for permanent partial disabilities; revises other provisions of the workers' compensation law. - Amends TCA ...",Tennessee,0
5,"Sunset Laws - As enacted, extends the board of dietitian/nutritionist examiners six years to June 30, 2022. - Amends TCA Title 4, Chapter 29, Part ...",Tennessee,0
6,"Child Custody and Support - As enacted, prohibits a child's parent or relative from interfering with a noncustodial parent's court-ordered visitation as custodial interference; makes ...",Tennessee,0
7,"Motor Vehicles - As enacted, requires every law enforcement agency to have a policy describing when law enforcement personnel may disclose to the public information ...",Tennessee,0
8,"Sunset Laws - As enacted, extends the board of pharmacy two years to June 30, 2018; requires the board to appear before the government operations ...",Tennessee,0
9,"Special License Plates - As enacted, expands eligibility for the issuance of an amateur radio license plate without the $25.00 additional fee to registrants who ...",Tennessee,0
10,"Courts, Supreme Court of Tennessee - As enacted, authorizes the supreme court, upon its own motion, to assume jurisdiction over an application for interlocutory or ...",Tennessee,0
1,"Correction, Dept. of - As enacted, requires the department of correction to pay, within 120 days of the bill being submitted, any bill of costs ...",Tennessee,0
2,"Environment and Conservation, Department of - As enacted, clarifies the requirement that the commissioner maintain separate accounts for monies collected and expended by each division ...",Tennessee,0
3,"Motor Vehicles - As enacted, requires every law enforcement agency to have a policy describing when law enforcement personnel may disclose to the public information ...",Tennessee,0
4,"Education - As enacted, requires that the display of the American flag on school property and at school events conform to the requirements of federal ...",Tennessee,0
5,"Managed Care Organizations - As enacted, extends the effectiveness of certain rules governing risk sharing agreements. - Amends the termination date of Chapter 409 of ...",Tennessee,0
6,"Schools, Private - As enacted, authorizes the board or governing entity, or the chief administrative officer, of a private K-12 school or private institution of ...",Tennessee,0
7,"Lottery, Scholarships and Programs - As enacted, encourages public school teachers to be Promise scholarship mentors by crediting them with one day of in-service for ...",Tennessee,0
8,"Sunset Laws - As enacted, extends the state soil conservation committee six years to June 30, 2022; establishes minimum attendance requirement for committee members and ...",Tennessee,0
9,"Veterans Services, Dept. of - As enacted, prohibits any person working for or representing the department from participating in certain solicitations from the public for ...",Tennessee,0
10,"Sunset Laws - As enacted, extends the department of human resources three years to June 30, 2019; requires the department to report back to the ...",Tennessee,0
1,"Traffic Safety - As enacted, establishes requirements for the operation of electric bicycles. - Amends TCA Section 54-10-111; Section 54-5-142; Section 54-5-211 and Title 55.",Tennessee,0
2,"Day Care - As enacted, makes various changes to the disclosures, background checks, and training required for child care agencies, including requiring volunteers to disclose ...",Tennessee,0
3,"Lottery, Charitable - As enacted, removes permanent disqualification for organizations failing to return requisite percentage of gross proceeds to charitable purposes or programs in two ...",Tennessee,0
4,"Energy - As enacted, transfers the division of energy from the department of economic and community development to the department of environment and conservation; renames ...",Tennessee,0
5,"University of Tennessee - As enacted, revises provisions governing the powers of the board of trustees of the University of Tennessee system. - Amends TCA ...",Tennessee,0
6,"Public Officials - As enacted, authorizes purchase of insurance to protect against breach of fiduciary duty by public officials and employees. - Amends TCA Title ...",Tennessee,0
7,"Nuclear Materials, Transportation and Safety - As enacted, clarifies that deadly force may be used by nuclear security officers at nuclear power reactor facilities and ...",Tennessee,0
8,"Unemployment Compensation - As enacted, revises provisions governing seasonal employment; adds provisions regarding taxable wage base; revises other provisions. - Amends TCA Section 50-7-213; Section ...",Tennessee,0
9,"Banks and Financial Institutions - As enacted, prohibits the commissioner of financial institutions from using a multi-state licensing system to share FBI criminal history background ...",Tennessee,0
10,"Solid Waste Disposal - As enacted, changes eligibility criteria for counties that receive rebates against the solid waste disposal tipping fee surcharge in lieu of ...",Tennessee,0
1,"Clerks, Court - As enacted, clarifies that clerks of general sessions and circuit courts are required to notify the TBI of final disposition of criminal ...",Tennessee,0
2,"Education, Higher - As enacted, provides tuition and fee waivers to full-time state employees for up to four courses per academic year provided the courses ...",Tennessee,0
3,"Sunset Laws - As enacted, extends the Tennessee motor vehicle commission four years to June 30, 2020; establishes minimum attendance requirement for commission members and ...",Tennessee,0
4,"Aircraft and Airports - As enacted, under certain circumstances, authorizes an airport authority to sell an aircraft abandoned on the airport authority's property; establishes procedures ...",Tennessee,0
5,"Schools, Private - As enacted, authorizes the board or governing entity, or the chief administrative officer, of a private K-12 school or private institution of ...",Tennessee,0
6,"Real Property - As enacted, prohibits a local governmental unit from enacting zoning regulations that require the allocation of a percentage of existing or newly ...",Tennessee,0
7,"Military - As enacted, enacts the ""National Guard Force Protection Act of 2016"". - Amends TCA Title 4; Title 9 and Title 58.",Tennessee,0
8,"Safety - As enacted, changes certain requirements for inspectors, redirects certain reports, imposes a $300 fine for certain violations, and revises other provisions concerning elevators, ...",Tennessee,0
9,"Sunset Laws - As enacted, extends the Tennessee rehabilitative initiative in correction (TRICOR) board for two years to June 30, 2018; removes the TRICOR board's ...",Tennessee,0
10,"Correctional Programs - As enacted, allows an inmate to receive sentence reduction credits for obtaining any high school equivalency credential, instead of only a GED. ...",Tennessee,0
1,"State Government - As enacted, revises various provisions governing reporting functions of public entities and officials. - Amends TCA Title 3; Title 4; Title 8; ...",Tennessee,0
2,"Sunset Laws - As enacted, extends the regional transportation authority of Middle Tennessee five years to June 30, 2018; requires the authority to appear before ...",Tennessee,0
3,"Sunset Laws - As enacted, extends the regional transportation authority of Middle Tennessee five years to June 30, 2018; requires the authority to appear before ...",Tennessee,0
4,"Traffic Safety - As enacted, establishes requirements for the operation of electric bicycles. - Amends TCA Section 54-10-111; Section 54-5-142; Section 54-5-211 and Title 55.",Tennessee,0
5,"Real Property - As enacted, prohibits a local governmental unit from enacting zoning regulations that require the allocation of a percentage of existing or newly ...",Tennessee,0
6,"Education - As enacted, makes certain changes to the requirements for voluntary pre-k programs. - Amends TCA Title 49, Chapter 6, Part 1.",Tennessee,0
7,"Medical Occupations - As enacted, revises provisions governing reinstatement of licenses based on expiration of a license under the division of health-related boards. - Amends ...",Tennessee,0
8,"Sunset Laws - As enacted, extends the Tennessee rehabilitative initiative in correction (TRICOR) board for two years to June 30, 2018; removes the TRICOR board's ...",Tennessee,0
9,"Trusts - As enacted, revises what constitutes a private trust company under the Banking Act. - Amends TCA Title 45, Chapter 1 and Title 45, ...",Tennessee,0
10,"Sunset Laws - As enacted, extends the Tennessee motor vehicle commission four years to June 30, 2020; establishes minimum attendance requirement for commission members and ...",Tennessee,0
1,"Lottery, Charitable - As enacted, removes permanent disqualification for organizations failing to return requisite percentage of gross proceeds to charitable purposes or programs in two ...",Tennessee,0
2,"Sunset Laws - As enacted, extends the board of dietitian/nutritionist examiners six years to June 30, 2022. - Amends TCA Title 4, Chapter 29, Part ...",Tennessee,0
3,"Sunset Laws - As enacted, extends the department of human resources three years to June 30, 2019; requires the department to report back to the ...",Tennessee,0
4,"Autopsies - As enacted, permits a county medical examiner and certain district attorneys general to request the district attorney general in the district where the ...",Tennessee,0
5,"Special License Plates - As enacted, expands eligibility for the issuance of an amateur radio license plate without the $25.00 additional fee to registrants who ...",Tennessee,0
6,"Lottery, Scholarships and Programs - As enacted, encourages public school teachers to be Promise scholarship mentors by crediting them with one day of in-service for ...",Tennessee,0
7,"Child Custody and Support - As enacted, prohibits a child's parent or relative from interfering with a noncustodial parent's court-ordered visitation as custodial interference; makes ...",Tennessee,0
8,"Forfeiture of Assets - As enacted, prohibits a general sessions judge from authorizing a magistrate or judicial officer who is not licensed in this state ...",Tennessee,0
9,"Hospitals and Health Care Facilities - As enacted, adds provisions regarding those qualified to be a medical laboratory director or a medical laboratory supervisor. - ...",Tennessee,0
10,"Courts, Juvenile - As enacted, revises the juvenile court procedures regarding service of summons and publication. - Amends TCA Title 37, Chapter 1.",Tennessee,0
1,"Courts, Juvenile - As enacted, clarifies and amends various provisions regarding juvenile cases heard by magistrates; extends from five days to 10 days the period ...",Tennessee,0
2,"Special License Plates - As enacted, authorizes issuance of Combat Action new specialty earmarked license plates. - Amends TCA Title 55, Chapter 4.",Tennessee,0
3,"Local Government, General - As enacted, authorizes volunteer firefighters who have successfully completed the Tennessee commission on firefighting personnel and standard education certification exam for ...",Tennessee,0
4,"Hospitals and Health Care Facilities - As enacted, extends current moratorium on certificates of need for new nursing home beds until June 30, 2021. - ...",Tennessee,0
5,"Criminal Offenses - As enacted, creates the offense of using an unmanned aircraft to fly within 250 feet of a critical infrastructure facility for the ...",Tennessee,0
6,"Clerks, Court - As enacted, clarifies that clerks of general sessions and circuit courts are required to notify the TBI of final disposition of criminal ...",Tennessee,0
7,"Education - As enacted, requires every elementary and secondary school to post the toll-free telephone number operated by the department of children's services to receive ...",Tennessee,0
8,"Driver Licenses - As enacted, requires the department of safety to report to the transportation committees of both houses by February 1, 2017, the number ...",Tennessee,0
9,"Sewage - As enacted, authorizes the use of green infrastructure practices within areas that have combined sanitary sewage and storm water systems. - Amends TCA ...",Tennessee,0
10,"Local Government, General - As enacted, expands the authority of the local governments to make interfund loans to include all funds derived from the sale ...",Tennessee,0
1,"Agriculture, Dept. of - As enacted, specifies that the department, in its role as the primary food manufacturing inspection agency for Tennessee, is the primary ...",Tennessee,0
2,"Employees, Employers - As enacted, makes various changes to the Tennessee Lawful Employment Act, including requiring, beginning January 1, 2017, a private employer with 50 ...",Tennessee,0
3,"Military - As enacted, creates civil immunity for certain members of the national guard who use force against another, including by discharging a personally owned ...",Tennessee,0
4,"Driver Licenses - As enacted, requires the department of safety to report to the transportation committees of both houses by February 1, 2017, the number ...",Tennessee,0
5,"Law Enforcement - As enacted, authorizes law enforcement officers to administer epinephrine in emergency situations in certain circumstances; authorizes physicians to prescribe epinephrine to a ...",Tennessee,0
6,"Agriculture, Dept. of - As enacted, specifies that the department, in its role as the primary food manufacturing inspection agency for Tennessee, is the primary ...",Tennessee,0
7,"Courts, Supreme Court of Tennessee - As enacted, allows the supreme court, through order or rule, to set all filing costs, fees, charges, and surcharges ...",Tennessee,0
8,"Workers Compensation - As enacted, authorizes the bureau of workers' compensation of the department of labor and workforce development to investigate complaints alleging certain disclosure ...",Tennessee,0
9,"Child Custody and Support - As enacted, requires that certain temporary injunctions go into effect against both parties upon filing of a petition related to ...",Tennessee,0
10,"Education, Dept. of - As enacted, requires the department to provide an annual report to the education committee of the senate and the education instruction ...",Tennessee,0
1,"University of Tennessee - As enacted, revises provisions governing the powers of the board of trustees of the University of Tennessee system. - Amends TCA ...",Tennessee,0
2,"Special License Plates - As enacted, authorizes issuance of Combat Action new specialty earmarked license plates. - Amends TCA Title 55, Chapter 4.",Tennessee,0
3,"Taxes - As enacted, adds, in regard to the authorization for duly authorized local governmental officials to review tax returns and information to ascertain whether ...",Tennessee,0
4,"Estates - As enacted, increases the maximum amount of a life insurance policy from $7,500 to $15,000 in order that a photocopy of a certificate ...",Tennessee,0
5,"Regional Authorities and Special Districts - As enacted, clarifies that the speakers may appoint members of the general assembly from one political party to the ...",Tennessee,0
6,"Courts, Supreme Court of Tennessee - As enacted, authorizes the supreme court, upon its own motion, to assume jurisdiction over an application for interlocutory or ...",Tennessee,0
7,"Intellectual & Developmental Disabilities - As enacted, reduces from 80 to 75 the age a custodial parent or other custodial caregiver of a person with ...",Tennessee,0
8,"Tennessee Bureau of Investigation - As enacted, requires the instant check unit of the TBI to contact the agency making an entry of an order ...",Tennessee,0
9,"Intellectual & Developmental Disabilities - As enacted, reduces from 80 to 75 the age a custodial parent or other custodial caregiver of a person with ...",Tennessee,0
10,"Fees - As enacted, makes permanent the $2.00 increases to the filing fees charged by court clerks and data fee entry chargeable by clerks that ...",Tennessee,0
1,"Public Contracts - As enacted, requires a vendor that is indicted for or convicted of, or pleads guilty or nolo contendere to, any violation under ...",Tennessee,0
2,"Fiscal Review Committee - As enacted, increases from 60 days to 90 days from the end of the annual legislative session the time frame for ...",Tennessee,0
3,"Students - As enacted, enacts the ""Student Online Personal Protection Act"". - Amends TCA Title 49.",Tennessee,0
4,"Taxes - As enacted, adds, in regard to the authorization for duly authorized local governmental officials to review tax returns and information to ascertain whether ...",Tennessee,0
5,"Taxes, Excise - As enacted, extends for an additional six years to July 1, 2022, the temporary tax on bottles of soft drinks and barrels ...",Tennessee,0
6,"Human Services, Dept. of - As enacted, requires the department to perform certain duties, such as develop subrecipient monitoring plans utilizing analytic procedures; conduct unannounced ...",Tennessee,0
7,"Military - As enacted, creates civil immunity for certain members of the national guard who use force against another, including by discharging a personally owned ...",Tennessee,0
8,"Education - As enacted, makes certain changes to the requirements for voluntary pre-k programs. - Amends TCA Title 49, Chapter 6, Part 1.",Tennessee,0
9,"Public Records - As enacted, revises requirements for protecting personally identifying information in records held by governmental entities; requires the office of open records counsel ...",Tennessee,0
10,"Employees, Employers - As enacted, makes various changes to the Tennessee Lawful Employment Act, including requiring, beginning January 1, 2017, a private employer with 50 ...",Tennessee,0
1,"Auctions and Auctioneers - As enacted, provides exemption from continuing education requirements for auctioneers who have reached 60 years of age and have been licensed ...",Tennessee,0
